Supplier_ID,Supplier_Name,Supplier_Email,Supplier_Location,Supplier_Phone
101,Elizabeth Austin,elizabeth.austin@yapi.com,Makoko,8089114525
102,Crystal Fitzpatrick,crystal.fitzpatrick@yapi.com,Oyinbo,8010489301
103,Jessica Hodges,jessica.hodges@yapi.com,Abeokuta,8008333372
104,David Roberts,david.roberts@yapi.com,Oyinbo,8083338298
105,Frances Wilson,frances.wilson@yapi.com,Epe,8060966649
106,Ryan Vasquez,ryan.vasquez@yapi.com,Abeokuta,8083314095
107,Whitney Burch,whitney.burch@yapi.com,Abeokuta,8006549231
108,Lauren Diaz,lauren.diaz@yapi.com,Oshogbo,8086721596
109,Patty Meyer,patty.meyer@yapi.com,Abeokuta,8082015910
110,Cole Rodriguez,cole.rodriguez@yapi.com,Makoko,8008634292
